时间,设备ID,温度(℃),电压(V),直流加热,电源反接,成功,错误码
2026-05-15 17:00:18,1_1_0004,28,104,否,否,是,
2026-05-15 17:00:29,1_1_0006,28,104,否,否,是,
2026-05-15 17:00:41,1_1_0001,28,104,否,否,是,
2026-05-15 17:00:46,1_1_0005,28,104,否,否,是,
2026-05-15 17:00:53,1_1_0007,28,104,否,否,是,
2026-05-15 17:01:03,1_1_0002,28,104,否,否,是,
2026-05-15 17:01:10,1_1_0009,28,104,否,否,是,
2026-05-15 17:01:21,1_1_0003,28,104,否,否,是,
2026-05-15 17:01:24,1_1_0010,28,104,否,否,是,
2026-05-15 17:01:26,1_1_0008,28,104,否,否,是,
2026-05-15 17:02:02,1_1_0004,28,104,否,否,是,
2026-05-15 17:02:13,1_1_0006,28,104,否,否,是,
2026-05-15 17:02:23,1_1_0001,28,104,否,否,是,
2026-05-15 17:02:27,1_1_0005,28,104,否,否,是,
2026-05-15 17:02:38,1_1_0007,28,104,否,否,是,
2026-05-15 17:02:53,1_1_0002,28,104,否,否,是,
2026-05-15 17:02:56,1_1_0009,28,104,否,否,是,
2026-05-15 17:03:04,1_1_0003,28,104,否,否,是,
2026-05-15 17:03:07,1_1_0010,28,104,否,否,是,
2026-05-15 17:03:08,1_1_0008,28,104,否,否,是,
2026-05-15 17:03:51,1_1_0004,28,104,否,否,是,
2026-05-15 17:04:05,1_1_0006,28,104,否,否,是,
2026-05-15 17:04:15,1_1_0001,28,104,否,否,是,
2026-05-15 17:04:19,1_1_0005,28,104,否,否,是,
2026-05-15 17:04:27,1_1_0007,28,104,否,否,是,
2026-05-15 17:04:40,1_1_0002,28,104,否,否,是,
2026-05-15 17:04:43,1_1_0009,28,104,否,否,是,
2026-05-15 17:04:52,1_1_0003,28,104,否,否,是,
2026-05-15 17:04:55,1_1_0010,28,104,否,否,是,
2026-05-15 17:04:56,1_1_0008,28,104,否,否,是,
2026-05-15 17:05:34,1_1_0004,28,104,否,否,是,
2026-05-15 17:05:43,1_1_0006,28,104,否,否,是,
2026-05-15 17:05:55,1_1_0001,28,104,否,否,是,
2026-05-15 17:06:00,1_1_0005,28,104,否,否,是,
2026-05-15 17:06:11,1_1_0007,28,104,否,否,是,
2026-05-15 17:06:26,1_1_0002,28,104,否,否,是,
2026-05-15 17:06:30,1_1_0009,28,104,否,否,是,
2026-05-15 17:06:38,1_1_0003,28,104,否,否,是,
2026-05-15 17:06:42,1_1_0010,28,104,否,否,是,
2026-05-15 17:06:43,1_1_0008,28,104,否,否,是,
2026-05-15 17:07:25,1_1_0004,28,104,否,否,是,
2026-05-15 17:07:37,1_1_0006,28,104,否,否,是,
2026-05-15 17:07:45,1_1_0001,28,104,否,否,是,
2026-05-15 17:07:51,1_1_0005,28,104,否,否,是,
2026-05-15 17:08:00,1_1_0007,28,104,否,否,是,
2026-05-15 17:08:14,1_1_0002,28,104,否,否,是,
2026-05-15 17:08:23,1_1_0009,28,104,否,否,是,
2026-05-15 17:08:29,1_1_0003,28,104,否,否,是,
2026-05-15 17:08:32,1_1_0010,28,104,否,否,是,
2026-05-15 17:08:33,1_1_0008,28,104,否,否,是,
2026-05-15 17:09:15,1_1_0004,28,104,否,否,是,
2026-05-15 17:11:57,1_1_0004,28,104,否,否,是,
2026-05-15 17:12:07,1_1_0006,28,104,否,否,是,
2026-05-15 17:12:17,1_1_0001,28,104,否,否,是,
2026-05-15 17:12:21,1_1_0005,28,104,否,否,是,
2026-05-15 17:12:27,1_1_0007,28,104,否,否,是,
2026-05-15 17:12:42,1_1_0002,28,104,否,否,是,
2026-05-15 17:12:44,1_1_0009,28,104,否,否,是,
2026-05-15 17:17:09,1_1_0004,28,104,否,否,是,
2026-05-15 17:17:17,1_1_0006,28,104,否,否,是,
2026-05-15 17:17:29,1_1_0001,28,104,否,否,是,
2026-05-15 17:17:38,1_1_0005,28,104,否,否,是,
2026-05-15 17:17:43,1_1_0007,28,104,否,否,是,
2026-05-15 17:17:58,1_1_0002,28,104,否,否,是,
2026-05-15 17:18:00,1_1_0009,28,104,否,否,是,
2026-05-15 17:18:10,1_1_0003,28,104,否,否,是,
2026-05-15 17:18:10,1_1_0010,28,104,否,否,是,
2026-05-15 17:18:12,1_1_0008,28,104,否,否,是,
2026-05-15 17:18:54,1_1_0004,28,104,否,否,是,
2026-05-15 17:19:01,1_1_0006,28,104,否,否,是,
2026-05-15 17:19:18,1_1_0001,28,104,否,否,是,
2026-05-15 17:19:23,1_1_0005,28,104,否,否,是,
2026-05-15 17:19:31,1_1_0007,28,104,否,否,是,
2026-05-15 17:19:43,1_1_0002,28,104,否,否,是,
2026-05-15 17:19:47,1_1_0009,28,104,否,否,是,
2026-05-15 17:19:58,1_1_0003,28,104,否,否,是,
2026-05-15 17:20:02,1_1_0010,28,104,否,否,是,
2026-05-15 17:20:07,1_1_0008,28,104,否,否,是,
2026-05-15 17:20:47,1_1_0004,28,104,否,否,是,
2026-05-15 17:20:55,1_1_0006,28,104,否,否,是,
2026-05-15 17:21:05,1_1_0001,28,104,否,否,是,
2026-05-15 17:21:10,1_1_0005,28,104,否,否,是,
2026-05-15 17:21:16,1_1_0007,28,104,否,否,是,
2026-05-15 17:21:29,1_1_0002,28,104,否,否,是,
2026-05-15 17:21:33,1_1_0009,28,104,否,否,是,
2026-05-15 17:21:40,1_1_0003,28,104,否,否,是,
2026-05-15 17:21:42,1_1_0010,28,104,否,否,是,
2026-05-15 17:21:43,1_1_0008,28,104,否,否,是,
2026-05-15 17:22:35,1_1_0004,0,0,否,否,否,2
