时间,设备ID,温度(℃),电压(V),直流加热,电源反接,成功,错误码
2026-05-15 16:19:59,1_1_0004,28,30,否,否,是,
2026-05-15 16:20:05,1_1_0006,28,30,否,否,是,
2026-05-15 16:20:07,1_1_0001,28,30,否,否,是,
2026-05-15 16:20:13,1_1_0005,28,29,否,否,是,
2026-05-15 16:20:23,1_1_0007,28,29,否,否,是,
2026-05-15 16:20:24,1_1_0002,28,30,否,否,是,
2026-05-15 16:20:31,1_1_0009,28,29,否,否,是,
2026-05-15 16:20:39,1_1_0003,28,29,否,否,是,
2026-05-15 16:20:47,1_1_0010,28,29,否,否,是,
2026-05-15 16:20:56,1_1_0008,28,29,否,否,是,
2026-05-15 16:21:27,1_1_0004,28,30,否,否,是,
2026-05-15 16:21:32,1_1_0006,28,30,否,否,是,
2026-05-15 16:21:34,1_1_0001,28,30,否,否,是,
2026-05-15 16:21:40,1_1_0005,28,29,否,否,是,
2026-05-15 16:21:48,1_1_0007,28,29,否,否,是,
2026-05-15 16:21:50,1_1_0002,28,30,否,否,是,
2026-05-15 16:21:57,1_1_0009,28,29,否,否,是,
2026-05-15 16:22:04,1_1_0003,28,29,否,否,是,
2026-05-15 16:22:11,1_1_0010,28,29,否,否,是,
2026-05-15 16:22:32,1_1_0008,0,0,否,否,否,2
2026-05-15 16:50:53,1_1_0004,0,0,否,否,否,2
2026-05-15 16:50:59,1_1_0006,28,104,否,否,是,
2026-05-15 16:51:12,1_1_0001,28,104,否,否,是,
2026-05-15 16:51:33,1_1_0005,0,0,否,否,否,2
2026-05-15 16:51:53,1_1_0007,0,0,否,否,否,2
2026-05-15 16:52:14,1_1_0002,0,0,否,否,否,2
2026-05-15 16:52:34,1_1_0009,0,0,否,否,否,2
2026-05-15 16:52:55,1_1_0003,0,0,否,否,否,2
2026-05-15 16:53:16,1_1_0010,0,0,否,否,否,2
2026-05-15 16:53:36,1_1_0008,0,0,否,否,否,2
2026-05-15 16:58:33,1_1_0004,28,104,否,否,是,
2026-05-15 16:58:43,1_1_0006,28,104,否,否,是,
2026-05-15 16:58:54,1_1_0001,28,104,否,否,是,
2026-05-15 16:58:59,1_1_0005,28,104,否,否,是,
2026-05-15 16:59:07,1_1_0007,28,104,否,否,是,
2026-05-15 16:59:24,1_1_0002,28,104,否,否,是,
2026-05-15 16:59:26,1_1_0009,28,104,否,否,是,
2026-05-15 16:59:33,1_1_0003,28,104,否,否,是,
2026-05-15 16:59:35,1_1_0010,28,104,否,否,是,
2026-05-15 16:59:37,1_1_0008,28,104,否,否,是,
