时间,设备ID,温度(℃),电压(V),直流加热,电源反接,成功,错误码
2026-05-15 09:42:56,1_2_0002,28,30,否,否,是,
2026-05-15 09:42:57,1_2_0001,28,30,否,否,是,
2026-05-15 09:43:05,1_2_0003,28,29,否,否,是,
2026-05-15 09:43:08,1_2_0007,28,29,否,否,是,
2026-05-15 09:43:10,1_2_0004,28,30,否,否,是,
2026-05-15 09:43:14,1_2_0006,28,30,否,否,是,
2026-05-15 09:43:20,1_2_0005,28,29,否,否,是,
2026-05-15 09:43:30,1_2_0009,28,29,否,否,是,
2026-05-15 09:43:39,1_2_0010,28,29,否,否,是,
2026-05-15 09:43:45,1_2_0008,28,29,否,否,是,
2026-05-15 09:44:17,1_2_0002,28,30,否,否,是,
2026-05-15 09:44:18,1_2_0001,28,30,否,否,是,
2026-05-15 09:44:22,1_2_0003,28,29,否,否,是,
2026-05-15 09:44:29,1_2_0007,28,29,否,否,是,
2026-05-15 09:44:30,1_2_0004,28,30,否,否,是,
2026-05-15 09:44:34,1_2_0006,28,30,否,否,是,
2026-05-15 09:44:40,1_2_0005,28,29,否,否,是,
2026-05-15 09:44:49,1_2_0009,28,29,否,否,是,
2026-05-15 09:44:55,1_2_0010,28,29,否,否,是,
2026-05-15 09:45:05,1_2_0008,0,0,否,否,否,2
2026-05-15 09:45:37,1_2_0002,28,30,否,否,是,
2026-05-15 09:45:38,1_2_0001,28,30,否,否,是,
2026-05-15 09:45:44,1_2_0003,28,29,否,否,是,
2026-05-15 09:45:54,1_2_0007,28,29,否,否,是,
2026-05-15 09:45:55,1_2_0004,28,30,否,否,是,
2026-05-15 09:45:59,1_2_0006,28,30,否,否,是,
2026-05-15 09:46:08,1_2_0005,28,29,否,否,是,
2026-05-15 09:46:15,1_2_0009,28,29,否,否,是,
2026-05-15 09:46:25,1_2_0010,28,29,否,否,是,
2026-05-15 09:46:32,1_2_0008,28,29,否,否,是,
2026-05-15 09:47:04,1_2_0002,28,30,否,否,是,
2026-05-15 09:47:05,1_2_0001,28,30,否,否,是,
2026-05-15 09:47:09,1_2_0003,28,29,否,否,是,
2026-05-15 09:47:16,1_2_0007,28,29,否,否,是,
2026-05-15 09:47:18,1_2_0004,28,30,否,否,是,
2026-05-15 09:47:22,1_2_0006,28,30,否,否,是,
2026-05-15 09:47:30,1_2_0005,28,29,否,否,是,
2026-05-15 09:47:34,1_2_0009,28,29,否,否,是,
2026-05-15 09:47:44,1_2_0010,28,29,否,否,是,
2026-05-15 09:47:55,1_2_0008,28,29,否,否,是,
2026-05-15 10:02:16,1_2_0004,28,30,否,否,是,
2026-05-15 10:02:17,1_2_0002,28,30,否,否,是,
2026-05-15 10:02:38,1_2_0005,0,0,否,否,否,2
2026-05-15 10:02:39,1_1_0001,28,30,否,否,是,
2026-05-15 10:02:43,1_2_0003,28,29,否,否,是,
2026-05-15 10:02:49,1_2_0006,28,30,否,否,是,
2026-05-15 10:03:11,1_1_0008,0,0,否,否,否,2
2026-05-15 10:03:17,1_2_0007,28,29,否,否,是,
2026-05-15 10:03:25,1_2_0009,28,29,否,否,是,
2026-05-15 10:03:35,1_2_0010,28,29,否,否,是,
2026-05-15 14:43:34,1_1_0002,28,30,否,否,是,
2026-05-15 14:43:36,1_1_0004,28,30,否,否,是,
2026-05-15 14:43:37,1_1_0001,28,30,否,否,是,
2026-05-15 14:43:48,1_1_0003,28,29,否,否,是,
2026-05-15 14:43:54,1_1_0007,28,29,否,否,是,
2026-05-15 14:43:58,1_1_0006,28,30,否,否,是,
2026-05-15 14:44:09,1_1_0009,28,29,否,否,是,
2026-05-15 14:44:16,1_1_0005,28,29,否,否,是,
2026-05-15 14:44:29,1_1_0010,28,29,否,否,是,
2026-05-15 14:44:42,1_1_0008,28,29,否,否,是,
2026-05-15 14:45:13,1_1_0002,28,30,否,否,是,
2026-05-15 14:45:14,1_1_0004,28,30,否,否,是,
2026-05-15 14:45:15,1_1_0001,28,30,否,否,是,
2026-05-15 14:45:21,1_1_0003,28,29,否,否,是,
2026-05-15 14:45:29,1_1_0007,28,29,否,否,是,
2026-05-15 14:45:33,1_1_0006,28,30,否,否,是,
2026-05-15 14:45:42,1_1_0009,28,29,否,否,是,
2026-05-15 14:45:47,1_1_0005,28,29,否,否,是,
2026-05-15 14:45:57,1_1_0010,28,29,否,否,是,
2026-05-15 14:46:07,1_1_0008,28,29,否,否,是,
2026-05-15 14:46:39,1_1_0002,28,30,否,否,是,
2026-05-15 14:46:40,1_1_0004,28,30,否,否,是,
2026-05-15 14:46:42,1_1_0001,28,30,否,否,是,
2026-05-15 14:46:48,1_1_0003,28,29,否,否,是,
2026-05-15 14:46:54,1_1_0007,28,29,否,否,是,
2026-05-15 14:46:58,1_1_0006,28,30,否,否,是,
2026-05-15 14:47:07,1_1_0009,28,29,否,否,是,
2026-05-15 14:47:18,1_1_0005,28,29,否,否,是,
2026-05-15 14:47:32,1_1_0010,28,29,否,否,是,
2026-05-15 14:47:43,1_1_0008,28,29,否,否,是,
2026-05-15 14:48:14,1_1_0002,28,30,否,否,是,
2026-05-15 14:48:16,1_1_0004,28,30,否,否,是,
2026-05-15 14:48:18,1_1_0001,28,30,否,否,是,
2026-05-15 14:48:21,1_1_0003,28,29,否,否,是,
2026-05-15 14:48:27,1_1_0007,28,29,否,否,是,
2026-05-15 14:48:31,1_1_0006,28,30,否,否,是,
2026-05-15 14:48:40,1_1_0009,28,29,否,否,是,
2026-05-15 14:48:47,1_1_0005,28,29,否,否,是,
2026-05-15 14:48:55,1_1_0010,28,29,否,否,是,
2026-05-15 14:49:04,1_1_0008,28,29,否,否,是,
