时间,设备ID,温度(℃),电压(V),直流加热,电源反接,成功,错误码
2026-05-22 10:08:00,1_1_0010,28,104,否,否,是,
2026-05-22 10:08:02,1_1_0008,28,104,否,否,是,
2026-05-22 10:08:12,1_1_0005,28,104,否,否,是,
2026-05-22 10:08:12,1_1_0009,28,104,否,否,是,
2026-05-22 10:08:20,1_1_0007,28,104,否,否,是,
2026-05-22 10:08:26,1_1_0003,28,104,否,否,是,
2026-05-22 10:08:38,1_1_0006,28,104,否,否,是,
2026-05-22 10:08:50,1_1_0004,28,104,否,否,是,
2026-05-22 10:09:04,1_1_0002,0,0,否,否,否,2
2026-05-22 10:09:13,1_1_0001,28,104,否,否,是,
2026-05-22 10:09:46,1_1_0010,28,104,否,否,是,
2026-05-22 10:09:47,1_1_0008,28,104,否,否,是,
2026-05-22 10:09:53,1_1_0005,28,104,否,否,是,
2026-05-22 10:09:59,1_1_0009,28,104,否,否,是,
2026-05-22 10:10:05,1_1_0007,28,104,否,否,是,
2026-05-22 10:10:17,1_1_0003,28,104,否,否,是,
2026-05-22 10:10:23,1_1_0006,28,104,否,否,是,
2026-05-22 10:10:33,1_1_0004,28,104,否,否,是,
2026-05-22 10:10:46,1_1_0002,28,104,否,否,是,
2026-05-22 10:10:56,1_1_0001,28,104,否,否,是,
2026-05-22 10:11:29,1_1_0010,28,104,否,否,是,
2026-05-22 10:11:30,1_1_0008,28,104,否,否,是,
2026-05-22 10:11:34,1_1_0005,28,104,否,否,是,
2026-05-22 10:11:36,1_1_0009,28,104,否,否,是,
2026-05-22 10:11:42,1_1_0007,28,104,否,否,是,
2026-05-22 10:11:55,1_1_0003,28,104,否,否,是,
2026-05-22 10:12:12,1_1_0006,28,104,否,否,是,
2026-05-22 10:12:20,1_1_0004,28,104,否,否,是,
2026-05-22 10:12:33,1_1_0002,28,104,否,否,是,
2026-05-22 10:12:45,1_1_0001,28,104,否,否,是,
2026-05-22 10:13:17,1_1_0010,28,104,否,否,是,
