时间,设备ID,温度(℃),电压(V),直流加热,电源反接,成功,错误码
2026-05-25 09:46:32,1_1_0010,28,104,否,否,是,
2026-05-25 09:46:34,1_1_0008,28,104,否,否,是,
2026-05-25 09:46:43,1_1_0005,28,104,否,否,是,
2026-05-25 09:46:48,1_1_0009,28,104,否,否,是,
2026-05-25 09:46:55,1_1_0007,28,104,否,否,是,
2026-05-25 09:47:03,1_1_0003,28,104,否,否,是,
2026-05-25 09:47:12,1_1_0006,28,104,否,否,是,
2026-05-25 09:47:21,1_1_0004,28,104,否,否,是,
2026-05-25 09:47:32,1_1_0002,28,104,否,否,是,
2026-05-25 09:47:43,1_1_0001,28,104,否,否,是,
2026-05-25 09:48:15,1_1_0010,28,104,否,否,是,
2026-05-25 09:48:16,1_1_0008,28,104,否,否,是,
2026-05-25 09:48:21,1_1_0005,28,104,否,否,是,
2026-05-25 09:48:25,1_1_0009,28,104,否,否,是,
2026-05-25 09:48:30,1_1_0007,28,104,否,否,是,
2026-05-25 09:48:39,1_1_0003,28,104,否,否,是,
2026-05-25 09:48:46,1_1_0006,28,104,否,否,是,
2026-05-25 09:48:56,1_1_0004,28,104,否,否,是,
2026-05-25 09:49:10,1_1_0002,28,104,否,否,是,
2026-05-25 09:49:24,1_1_0001,28,104,否,否,是,
2026-05-25 09:49:56,1_1_0010,28,104,否,否,是,
2026-05-25 09:49:57,1_1_0008,28,104,否,否,是,
2026-05-25 09:50:03,1_1_0005,28,104,否,否,是,
2026-05-25 09:50:08,1_1_0009,28,104,否,否,是,
2026-05-25 09:50:15,1_1_0007,28,104,否,否,是,
2026-05-25 09:50:25,1_1_0003,28,104,否,否,是,
2026-05-25 09:50:34,1_1_0006,28,104,否,否,是,
2026-05-25 09:50:45,1_1_0004,28,104,否,否,是,
2026-05-25 09:50:59,1_1_0002,28,104,否,否,是,
2026-05-25 09:51:09,1_1_0001,28,104,否,否,是,
2026-05-25 09:51:41,1_1_0010,28,104,否,否,是,
2026-05-25 09:51:42,1_1_0008,28,104,否,否,是,
2026-05-25 09:51:48,1_1_0005,28,104,否,否,是,
2026-05-25 09:51:51,1_1_0009,28,104,否,否,是,
2026-05-25 09:51:57,1_1_0007,28,104,否,否,是,
2026-05-25 09:52:04,1_1_0003,28,104,否,否,是,
2026-05-25 09:52:12,1_1_0006,28,104,否,否,是,
