时间,设备ID,温度(℃),电压(V),直流加热,电源反接,成功,错误码
2026-05-15 15:35:52,1_1_0004,28,30,否,否,是,
2026-05-15 15:35:56,1_1_0006,28,29,否,否,是,
2026-05-15 15:35:58,1_1_0001,28,30,否,否,是,
2026-05-15 15:36:14,1_1_0005,28,29,否,否,是,
2026-05-15 15:36:22,1_1_0007,28,29,否,否,是,
2026-05-15 15:36:23,1_1_0002,28,30,否,否,是,
2026-05-15 15:36:28,1_1_0009,28,29,否,否,是,
2026-05-15 15:36:32,1_1_0003,36,29,否,否,是,
2026-05-15 15:36:40,1_1_0010,28,29,否,否,是,
2026-05-15 15:36:48,1_1_0008,28,29,否,否,是,
2026-05-15 15:37:21,1_1_0004,28,30,否,否,是,
2026-05-15 15:37:23,1_1_0006,28,30,否,否,是,
2026-05-15 15:37:25,1_1_0001,28,30,否,否,是,
2026-05-15 15:37:31,1_1_0005,28,29,否,否,是,
2026-05-15 15:37:37,1_1_0007,28,29,否,否,是,
2026-05-15 15:37:38,1_1_0002,28,30,否,否,是,
2026-05-15 15:37:45,1_1_0009,28,29,否,否,是,
2026-05-15 15:37:50,1_1_0003,36,29,否,否,是,
2026-05-15 15:38:00,1_1_0010,28,29,否,否,是,
2026-05-15 15:38:09,1_1_0008,28,29,否,否,是,
2026-05-15 15:38:41,1_1_0004,28,30,否,否,是,
2026-05-15 15:38:45,1_1_0006,28,30,否,否,是,
2026-05-15 15:38:47,1_1_0001,28,30,否,否,是,
2026-05-15 15:39:08,1_1_0005,0,0,否,否,否,2
2026-05-15 15:39:12,1_1_0007,28,29,否,否,是,
2026-05-15 15:39:14,1_1_0002,28,30,否,否,是,
2026-05-15 15:39:23,1_1_0009,28,29,否,否,是,
2026-05-15 15:39:27,1_1_0003,36,29,否,否,是,
2026-05-15 15:39:35,1_1_0010,28,29,否,否,是,
2026-05-15 15:39:55,1_1_0008,0,0,否,否,否,2
2026-05-15 15:40:28,1_1_0004,28,30,否,否,是,
2026-05-15 15:40:32,1_1_0006,28,30,否,否,是,
2026-05-15 15:40:35,1_1_0001,28,30,否,否,是,
2026-05-15 15:40:40,1_1_0005,28,29,否,否,是,
2026-05-15 15:40:46,1_1_0007,28,29,否,否,是,
2026-05-15 15:40:48,1_1_0002,28,30,否,否,是,
2026-05-15 15:40:54,1_1_0009,28,29,否,否,是,
2026-05-15 15:41:01,1_1_0003,36,29,否,否,是,
2026-05-15 15:41:11,1_1_0010,28,29,否,否,是,
2026-05-15 15:41:21,1_1_0008,28,29,否,否,是,
2026-05-15 15:41:53,1_1_0004,28,30,否,否,是,
2026-05-15 15:41:57,1_1_0006,28,30,否,否,是,
2026-05-15 15:41:58,1_1_0001,28,30,否,否,是,
